mes,indice_pimpf,ipca,taxa_selic,taxa_cambio,ibcbr,tjlp,pib_mensal,preco_brent,desembolso,debitos,arrecadacao
200401,104.0,0.76,16.32,136.19,98.59,10.0,1735331.5,31.18,1107.0,730970151.84,6709728197.38
200402,103.1,0.61,16.3,139.84,99.45,10.0,1746819.2,30.87,2559.0,4150874441.76,5844143844.18
200403,113.0,0.47,16.19,138.89,111.98,10.0,1765492.2,33.80,4302.0,3778614348.15,5757594052.26
200404,107.8,0.37,15.96,138.85,107.36,9.75,1781058.0,33.36,5474.0,4927327281.54,7872112724.87
200405,108.9,0.51,15.77,148.25,106.03,9.75,1800951.1,37.92,5976.0,2175495525.08,7156122486.18
200406,113.1,0.71,15.8,149.04,107.0,9.75,1828299.9,35.19,7338.0,2078371021.4,7048867894.18
200407,110.9,0.91,15.77,143.11,111.47,9.75,1853700.2,38.37,8251.0,2531326742.62,8450280955.76
200408,113.2,0.69,15.86,140.62,110.65,9.75,1878059.7,43.03,8887.0,1900320314.96,7101401000.31
200409,107.6,0.33,16.09,135.23,109.21,9.75,1894202.4,43.38,9562.0,2038177171.23,7709141173.53
200410,103.8,0.44,16.41,133.55,108.89,9.75,1909813.0,49.82,11099.0,2499240580.37,8787191146.35
200411,108.6,0.69,16.96,129.6,109.59,9.75,1933090.2,43.05,12842.0,2125699332.07,6845525061.37
200412,108.9,0.86,17.5,124.9,107.56,9.75,1957751.2,39.64,15526.0,2509619881.37,7922471086.32
200501,105.4,0.58,17.93,123.29,103.52,9.75,1976732.7,44.28,2089.0,2991476281.61,9171568873.85
200502,103.3,0.59,18.47,118.92,104.0,9.75,1994573.0,45.56,3051.0,1883603437.97,6970913797.98
200503,101.0,0.61,18.97,124.02,115.42,9.75,2012678.1,53.08,4797.0,2541728506.27,7356127741.47
200504,105.4,0.87,19.32,118.03,112.35,9.75,2032903.2,51.86,5966.0,2865775194.99,9611372227.63
200505,104.9,0.49,19.61,111.59,110.86,9.75,2050901.0,48.67,7363.0,2254299807.52,7820800673.18
200506,105.6,-0.02,19.75,109.88,111.5,9.75,2066440.6,54.31,10274.0,2480066385.61,7480433753.36
200507,99.9,0.25,19.72,108.29,113.15,9.75,2079143.4,57.58,11523.0,3324322708.25,8976327089.48
200508,103.5,0.17,19.75,108.07,115.15,9.75,2097211.1,64.09,13512.0,2183455425.52,7829659673.51
200509,99.3,0.35,19.61,105.95,110.95,9.75,2114047.4,62.98,14681.0,2431266772.14,8007888650.95
200510,99.7,0.75,19.25,103.63,111.33,9.75,2132693.9,58.52,15620.0,2936053274.59,10555158444.11
200511,100.2,0.55,18.87,100.17,111.73,9.75,2150566.9,55.54,19479.0,2416446356.47,8605337373.05
200512,101.8,0.36,18.24,102.76,111.25,9.75,2170584.5,56.75,23033.0,2971299381.99,9034476870.79
200601,102.6,0.59,17.65,102.41,108.55,9.0,2192609.2,63.57,634.0,2550451510.98,9406721778.92
200602,104.6,0.41,17.28,97.17,107.8,9.0,2210389.7,59.92,1299.0,497551187.27,7451864843.97
200603,104.5,0.43,16.74,96.84,119.09,9.0,2225144.4,62.25,2385.0,626975241.22,7624398172.33
200604,98.1,0.21,16.19,96.43,112.61,8.15,2232996.0,70.44,4695.0,794885115.43,10942206553.01
