mes,pib_mensal
2003.10,1676712.4
2003.11,1694390.2
2003.12,1717950.4
2004.01,1735331.5
2004.02,1746819.2
2004.03,1765492.2
2004.04,1781058
2004.05,1800951.1
2004.06,1828299.9
2004.07,1853700.2
2004.08,1878059.7
2004.09,1894202.4
2004.10,1909813
2004.11,1933090.2
2004.12,1957751.2
2005.01,1976732.7
2005.02,1994573
2005.03,2012678.1
2005.04,2032903.2
2005.05,2050901
2005.06,2066440.6
2005.07,2079143.4
2005.08,2097211.1
2005.09,2114047.4
2005.10,2132693.9
2005.11,2150566.9
2005.12,2170584.5
2006.01,2192609.2
2006.02,2210389.7
2006.03,2225144.4
2006.04,2232996
2006.05,2253373.6
2006.06,2271563.6
2006.07,2294464.3
2006.08,2317035.7
2006.09,2336552.2
2006.10,2361640.9
2006.11,2386570.6
2006.12,2409449.9
2007.01,2435015.8
2007.02,2459237.7
2007.03,2486603.3
2007.04,2516701.6
2007.05,2545365.2
2007.06,2575281.9
2007.07,2602131.6
2007.08,2627332.8
2007.09,2649280.2
2007.10,2676947.9
2007.11,2699162.1
2007.12,2720262.9
2008.01,2746380
2008.02,2776356.3
2008.03,2800891.8
2008.04,2834556.8
2008.05,2862955.9
2008.06,2899758.4
2008.07,2944030
2008.08,2978255.1
2008.09,3020522.3
2008.10,3059105.4
2008.11,3087863.3
2008.12,3109803.1
2009.01,3122486.9
2009.02,3133825.9
2009.03,3153875.1
2009.04,3164637.8
2009.05,3178020
2009.06,3187927.6
2009.07,3195271.3
2009.08,3210275.9
2009.09,3228168
2009.10,3249541.6
2009.11,3283901.4
2009.12,3333039.4
2010.01,3372087.7
2010.02,3413806.6
2010.03,3463309.6
2010.04,3510858.7
2010.05,3558543.7
2010.06,3603877
2010.07,3650909.3
2010.08,3700894.1
2010.09,3748968.6
2010.10,3792038.4
2010.11,3843656.2
2010.12,3885847
2011.01,3930197.1
2011.02,3979575.6
2011.03,4015980.5
2011.04,4058128.5
2011.05,4108534.5
2011.06,4158548
2011.07,4199409
2011.08,4242190.2
2011.09,4272947.9
2011.10,4306824.6
2011.11,4340099.3
2011.12,4376382
2012.01,4410803.2
2012.02,4443538.2
2012.03,4489323.3
2012.04,4522649.4
2012.05,4557310.8
2012.06,4585734.8
2012.07,4627786.4
2012.08,4671512.3
2012.09,4703853.4
2012.10,4748418.4
2012.11,4782961.9
2012.12,4814760
2013.01,4861597
2013.02,4892861.3
2013.03,4926899.9
2013.04,4983754.8
2013.05,5022338.3
2013.06,5066354.6
2013.07,5110552.6
2013.08,5144047.9
2013.09,5190039.7
2013.10,5235156.6
2013.11,5278966.6
2013.12,5331619
2014.01,5377591.2
2014.02,5434593.9
2014.03,5475984.5
2014.04,5512855.6
2014.05,5553873.9
2014.06,5575724.7
2014.07,5606410.4
2014.08,5638067.9
2014.09,5683716.3
2014.10,5717959.2
2014.11,5747684.8
2014.12,5778953
2015.01,5799553.9
2015.02,5810506.3
2015.03,5849644.2
2015.04,5866862.7
2015.05,5877527.9
2015.06,5907304.8
2015.07,5928051.8
2015.08,5943509.3
2015.09,5953405.9
2015.10,5967927.5
2015.11,5982474.2
2015.12,5995787
2016.01,6004331.1
2016.02,6029181
2016.03,6039342
2016.04,6055648.1
2016.05,6077838
2016.06,6118352.6
2016.07,6139828.7
2016.08,6172089.6
2016.09,6187312.5
2016.10,6195569.8
2016.11,6223883.6
2016.12,6269328
2017.01,6307572.4
2017.02,6330178.2
2017.03,6355071.7
2017.04,6370149.2
2017.05,6405200.4
2017.06,6427016.5
2017.07,6453349.7
2017.08,6477661.3
2017.09,6498400.9
2017.10,6527183
2017.11,6557222.9
2017.12,6585479
2018.01,6622546.3
2018.02,6648384.4
2018.03,6680377
2018.04,6731468.2
2018.05,6744687.9
2018.06,6782893.4
2018.07,6823795.3
2018.08,6866846.9
2018.09,6902659.2
2018.10,6951627.5
2018.11,6985193.7
2018.12,7004141
2019.01,7028052.3
2019.02,7069480.8
2019.03,7088907
2019.04,7121226.2
2019.05,7176451.3
2019.06,7189820.6
2019.07,7231391.3
2019.08,7259724.1
2019.09,7305486.4
2019.10,7343681.6
2019.11,7374387.3
2019.12,7407023.6
2020.01,7435826.2
2020.02,7463826.9
2020.03,7485253.1
2020.04,7422874.5
2020.05,7365193.7
2020.06,7359646.6
2020.07,7349280
2020.08,7348772.7
2020.09,7367379
2020.10,7386165.6
2020.11,7417829.9
2020.12,7447858.3
2021.01,7480820.3
2021.02,7544387.1
2021.03,7652017.9
2021.04,7788508.2
2021.05,7928005.2
