mes,debitos,arrecadacao
200401,75412992.56,280680268.79
200402,179152435.34,222566041.69
200403,176424856.38,236544174.48
200404,354079785.64,304884525.79
200405,183660929.98,271579026.11
200406,185362268.16,281451092.85
200407,380813897.57,331607283.68
200408,193690711.95,288109311.21
200409,204886045.70,298805109.26
200410,419120842.04,351138217.37
200411,205347277.75,312843284.86
200412,236295129.66,338828259.30
200501,446217333.06,380228783.99
200502,157373993.40,274164721.48
200503,166495334.21,292167215.47
200504,329413217.91,360016610.53
200505,191073844.96,318191433.38
200506,192039175.57,319249344.61
200507,345686489.68,382896533.87
200508,185772544.35,334616127.46
200509,201309372.93,349289767.26
200510,365588935.91,419763994.98
200511,202320385.99,357542481.89
200512,229209342.11,377998835.67
200601,354468980.09,425143626.70
200602,26295499.28,303217079.21
200603,30025481.15,317292989.62
200604,46170043.82,400611838.29
200605,23676342.04,331814331.28
200606,26705531.60,349083531.94
200607,50346783.26,399418783.82
200608,128389963.62,348833390.83
200609,144293941.42,398738861.55
200610,281358134.16,452284441.00
200611,142977671.46,417769423.45
200612,166735313.96,430270677.13
200701,295971352.15,479593389.89
200702,114757058.51,341064335.66
200703,118873182.49,362129873.53
200704,335742018.16,466980548.71
200705,179265434.26,408166625.56
200706,193891517.70,417800763.87
200707,349909317.03,500213075.77
200708,58857328.78,413874821.12
200709,62850477.41,420476405.95
200710,14079345.58,542848409.75
200711,4151501.98,464523858.14
200712,4896851.10,479285198.62
200801,15445504.01,593126166.27
200802,60125550.79,428600081.80
200803,53757577.62,464482762.82
200804,144746540.50,545447564.85
200805,69085068.37,487715071.60
200806,64072405.47,482160889.66
200807,155718888.81,622848364.73
200808,37088574.02,527418242.77
200809,39137169.34,537350743.90
200810,62113696.82,676966702.09
200811,36521183.71,539397278.50
200812,33174340.07,488426723.76
200901,53826204.36,594653488.37
200902,1221748.36,396030805.25
200903,1233353.90,435759203.81
200904,1786915.27,536173617.67
200905,1906121.77,425186577.08
200906,2355333.37,410051279.24
200907,2533187.03,545021650.22
200908,2034501.21,437871610.15
200909,2447553.35,460860506.23
200910,5217694.33,620035252.89
200911,3789860.96,588073745.21
200912,2758394.84,543057479.74
201001,4720682.24,678550405.70
201002,5311616.77,444635725.93
201003,3954919.73,518161126.48
201004,13730568.55,701430725.20
201005,4852942.68,556836081.29
201006,7342600.00,575401510.59
201007,14627103.80,741082019.15
201008,6064172.72,612467803.84
201009,8498668.56,651133337.58
201010,15298896.44,819155076.33
201011,8340561.89,683348825.36
201012,12497740.22,706942292.35
201101,33265580.61,926675480.65
201102,14487530.61,582094038.22
201103,20250428.40,677364035.11
201104,39645324.84,801386261.42
201105,18290831.90,654535905.83
201106,22507909.93,693992105.38
201107,33108016.75,880884146.86
201108,20343534.56,743199960.21
201109,19794044.84,790965963.92
201110,50009215.29,944435698.74
201111,35500787.44,787330107.96
201112,25731785.86,778656888.35
201201,77743630.39,1055713254.22
201202,42127870.01,649509188.56
201203,50508507.59,791530395.89
201204,128207924.59,951281883.98
201205,48476469.06,729740842.66
201206,46620147.67,733130501.54
201207,117135499.07,916258514.80
201208,42173906.45,787917543.35
201209,69089545.07,792004131.76
201210,152183999.59,1003549483.57
201211,70145425.69,858155465.55
201212,78334496.69,854611432.89
201301,214808852.58,1059379510.74
201302,94058829.42,702426886.68
201303,102786245.69,766648963.90
201304,231846459.66,972255122.02
201305,111592731.88,813345713.53
201306,111864128.61,810712582.57
201307,229390581.83,1024078732.59
201308,108877868.70,836515162.34
201309,112696046.68,832570393.31
201310,317378207.41,1074759874.36
201311,148504546.28,874696260.53
201312,175305928.90,871084920.57
201401,649502931.85,1066530884.38
201402,544055437.82,707010465.31
201403,617092787.98,745714126.34
201404,1366287356.20,916331176.91
201405,619618433.27,744841393.91
201406,621340123.18,708902247.62
201407,1345375323.79,876649539.36
201408,616000256.03,1049695272.05
201409,618996414.16,782526733.78
201410,1498952650.55,1049251712.86
201411,690393153.90,955669511.92
201412,664001305.97,868008799.02
201501,1530455778.61,964842038.51
201502,504638758.06,607295792.90
201503,522355039.29,651177346.41
201504,1228375869.39,801636958.23
201505,525822949.17,594612738.26
201506,520124114.13,585470565.64
201507,1030827121.24,735463407.94
201508,540658918.32,600135904.46
201509,511222494.19,607695956.62
201510,1208573937.44,730540390.06
201511,516872701.37,542528897.76
201512,518070722.28,549921176.14
201601,1235120159.82,709681764.76
201602,398259239.86,432405562.87
201603,426230593.30,466737935.31
201604,1020494327.53,594812066.59
201605,453756327.01,460635918.98
201606,449331585.91,457162973.29
201607,1034479390.94,602564580.09
201608,445749566.99,470351740.11
201609,469434134.93,437349526.15
201610,1032625950.87,559383729.80
201611,444535942.83,433737474.59
201612,472627938.06,430009593.95
201701,1057851823.59,572774991.21
201702,371429884.58,342050571.62
201703,366625583.42,375304806.43
201704,889998492.47,495370291.45
201705,367826129.44,381905289.96
201706,423176201.67,402600828.29
201707,849883648.39,471361933.07
201708,380594374.71,409426550.84
201709,423256179.38,456567005.52
201710,878336989.17,551770818.84
201711,413656669.76,513440720.76
201712,423156041.21,499938180.55
201801,905688538.37,550197236.17
201802,336271306.70,341229236.88
201803,335414104.98,349522619.21
201804,776490419.90,471717614.65
201805,373021478.68,363424188.10
201806,333223626.06,344091359.81
201807,779174698.39,477824653.40
201808,359859158.09,378327821.84
201809,393591725.49,384775581.03
201810,783967268.81,467149725.02
201811,375686416.26,379498345.10
201812,376188532.26,381757862.79
201901,788302833.03,460423285.36
201902,294049895.53,301122852.75
201903,305351989.03,312607094.96
201904,654861744.47,396314873.00
201905,306009023.50,482866913.01
201906,313103518.05,484779352.87
201907,655417558.44,573608139.71
201908,316360103.85,499450627.55
201909,322399181.24,508548616.13
201910,704355076.22,605621874.91
201911,345078783.50,520191388.89
201912,342598927.46,643529680.84
202001,792871899.84,692094305.27
202002,291779806.41,503770581.36
202003,296133242.61,417554960.26
202004,493683406.84,383635244.81
202005,91226121.38,286730011.02
202006,100305329.67,333363310.82
202007,698081021.85,570468547.82
202008,514679427.58,685202898.28
202009,344224479.44,623929058.53
202010,1079911018.66,933792898.26
202011,571848540.55,771566464.16
202012,425792856.58,883336040.23
