mes,indice_pimpf,ipca,taxa_selic,taxa_cambio,ibcbr,tjlp,pib_mensal,preco_brent,desembolso,debitos,arrecadacao
2004-01-01 00:00:00,104.0,0.76,16.32,136.19,98.59,10.0,1735331.5,31.18,1107.0,7282426.41,68059738.44
2004-02-01 00:00:00,103.1,0.61,16.3,139.84,99.45,10.0,1746819.2,30.87,2559.0,46156308.72,53040081.05
2004-03-01 00:00:00,113.0,0.47,16.19,138.89,111.98,10.0,1765492.2,33.8,4302.0,48512047.08,58277134.96
2004-04-01 00:00:00,107.8,0.37,15.96,138.85,107.36,9.75,1781058.0,33.36,5474.0,57059252.73,58664645.94
2004-05-01 00:00:00,108.9,0.51,15.77,148.25,106.03,9.75,1800951.1,37.92,5976.0,44466777.51,57931554.86
2004-06-01 00:00:00,113.1,0.71,15.8,149.04,107.0,9.75,1828299.9,35.19,7338.0,37836870.11,57774191.49
2004-07-01 00:00:00,110.9,0.91,15.77,143.11,111.47,9.75,1853700.2,38.37,8251.0,42389921.1,52033863.89
2004-08-01 00:00:00,113.2,0.69,15.86,140.62,110.65,9.75,1878059.7,43.03,8887.0,30911246.7,53941476.59
2004-09-01 00:00:00,107.6,0.33,16.09,135.23,109.21,9.75,1894202.4,43.38,9562.0,31313688.36,45678698.03
2004-10-01 00:00:00,103.8,0.44,16.41,133.55,108.89,9.75,1909813.0,49.82,11099.0,49102835.12,58433699.72
2004-11-01 00:00:00,108.6,0.69,16.96,129.6,109.59,9.75,1933090.2,43.05,12842.0,30349365.29,46392318.31
2004-12-01 00:00:00,108.9,0.86,17.5,124.9,107.56,9.75,1957751.2,39.64,15526.0,30169422.97,45768653.08
2005-01-01 00:00:00,105.4,0.58,17.93,123.29,103.52,9.75,1976732.7,44.28,2089.0,42525339.68,52506145.91
2005-02-01 00:00:00,103.3,0.59,18.47,118.92,104.0,9.75,1994573.0,45.56,3051.0,24477936.56,53606080.16
2005-03-01 00:00:00,101.0,0.61,18.97,124.02,115.42,9.75,2012678.1,53.08,4797.0,39608411.19,46968670.91
2005-04-01 00:00:00,105.4,0.87,19.32,118.03,112.35,9.75,2032903.2,51.86,5966.0,49394357.41,61878880.0
2005-05-01 00:00:00,104.9,0.49,19.61,111.59,110.86,9.75,2050901.0,48.67,7363.0,21771096.73,42223463.63
2005-06-01 00:00:00,105.6,-0.02,19.75,109.88,111.5,9.75,2066440.6,54.31,10274.0,22331803.55,56352131.18
2005-07-01 00:00:00,99.9,0.25,19.72,108.29,113.15,9.75,2079143.4,57.58,11523.0,34587426.88,50188393.35
2005-08-01 00:00:00,103.5,0.17,19.75,108.07,115.15,9.75,2097211.1,64.09,13512.0,19808481.38,50936572.29
2005-09-01 00:00:00,99.3,0.35,19.61,105.95,110.95,9.75,2114047.4,62.98,14681.0,28499821.91,50082580.73
2005-10-01 00:00:00,99.7,0.75,19.25,103.63,111.33,9.75,2132693.9,58.52,15620.0,33138487.58,54265118.63
2005-11-01 00:00:00,100.2,0.55,18.87,100.17,111.73,9.75,2150566.9,55.54,19479.0,22370669.44,49457178.57
2005-12-01 00:00:00,101.8,0.36,18.24,102.76,111.25,9.75,2170584.5,56.75,23033.0,22277489.89,48269770.49
2006-01-01 00:00:00,102.6,0.59,17.65,102.41,108.55,9.0,2192609.2,63.57,634.0,33048708.29,58405010.36
2006-02-01 00:00:00,104.6,0.41,17.28,97.17,107.8,9.0,2210389.7,59.92,1299.0,2920952.74,51077867.71
2006-03-01 00:00:00,104.5,0.43,16.74,96.84,119.09,9.0,2225144.4,62.25,2385.0,3396949.34,58708357.65
2006-04-01 00:00:00,98.1,0.21,16.19,96.43,112.61,8.15,2232996.0,70.44,4695.0,3672303.36,59516508.69
2006-05-01 00:00:00,104.5,0.1,15.7,99.03,117.19,8.15,2253373.6,70.19,6089.0,2582885.99,51170902.59
2006-06-01 00:00:00,99.6,-0.21,15.18,102.64,114.4,8.15,2271563.6,68.86,8477.0,1684698.7,49263853.36
2006-07-01 00:00:00,103.4,0.19,14.98,100.05,119.41,7.5,2294464.3,73.9,10937.0,3827857.92,52850830.22
2006-08-01 00:00:00,103.0,0.05,14.66,98.67,121.06,7.5,2317035.7,73.61,13812.0,7892171.21,50718676.03
2006-09-01 00:00:00,101.1,0.21,14.17,98.57,116.21,7.5,2336552.2,62.77,16059.0,9417802.31,50705924.11
2006-10-01 00:00:00,103.9,0.33,13.95,96.79,119.33,6.85,2361640.9,58.38,17890.0,19935297.6,56346126.45
2006-11-01 00:00:00,103.4,0.31,13.65,96.78,118.67,6.85,2386570.6,58.48,20484.0,9537286.07,67259946.02
2006-12-01 00:00:00,99.9,0.48,13.19,96.1,116.3,6.85,2409449.9,62.31,25663.0,10849076.41,69296061.17
2007-01-01 00:00:00,103.9,0.44,13.13,95.46,114.79,6.5,2435015.8,54.3,2254.0,16996850.97,66838339.03
2007-02-01 00:00:00,102.8,0.44,12.93,93.66,113.33,6.5,2459237.7,57.76,3334.0,18761122.35,56932587.83
2007-03-01 00:00:00,104.3,0.37,12.74,93.83,125.11,6.5,2486603.3,62.14,4943.0,9806853.75,65536337.93
2007-04-01 00:00:00,105.8,0.25,12.58,91.65,120.29,6.5,2516701.6,67.4,6426.0,33267800.06,66401689.37
2007-05-01 00:00:00,104.8,0.28,12.43,89.67,123.9,6.5,2545365.2,67.48,8118.0,19915841.17,57620941.93
2007-06-01 00:00:00,106.2,0.28,12.03,87.34,122.38,6.5,2575281.9,71.32,10614.0,21662720.54,72097795.94
2007-07-01 00:00:00,106.4,0.24,11.73,84.9,127.85,6.25,2602131.6,77.2,14002.0,29062304.6,69729714.03
2007-08-01 00:00:00,106.4,0.47,11.43,88.08,129.05,6.25,2627332.8,70.8,16539.0,15629792.87,45747805.69
2007-09-01 00:00:00,105.6,0.18,11.22,85.18,123.24,6.25,2649280.2,77.13,17718.0,8662423.53,58722904.42
2007-10-01 00:00:00,111.0,0.3,11.18,80.69,129.17,6.25,2676947.9,82.86,20108.0,255644.34,67128735.57
2007-11-01 00:00:00,107.0,0.38,11.18,79.47,125.88,6.25,2699162.1,92.53,22884.0,45127.88,64116227.97
2007-12-01 00:00:00,106.2,0.74,11.18,79.55,122.43,6.25,2720262.9,91.45,25395.0,41305.06,56271519.68
2008-01-01 00:00:00,109.0,0.54,11.18,78.99,121.86,6.25,2746380.0,91.92,2090.0,198589.22,71057215.98
2008-02-01 00:00:00,110.3,0.49,11.18,76.77,121.91,6.25,2776356.3,94.82,4056.0,6616526.55,57169749.11
2008-03-01 00:00:00,101.2,0.48,11.18,76.16,128.99,6.25,2800891.8,103.28,7439.0,2185796.0,47921768.15
2008-04-01 00:00:00,109.8,0.55,11.37,75.37,129.48,6.25,2834556.8,110.19,11493.0,8693846.49,75145777.72
2008-05-01 00:00:00,102.3,0.79,11.63,74.14,128.92,6.25,2862955.9,123.94,13341.0,6009429.56,53875494.34
2008-06-01 00:00:00,106.6,0.74,12.09,72.47,130.59,6.25,2899758.4,133.05,15125.0,4491787.04,51536625.79
2008-07-01 00:00:00,108.7,0.53,12.36,71.24,136.53,6.25,2944030.0,133.87,16684.0,9612073.6,58897586.09
2008-08-01 00:00:00,101.5,0.28,12.92,71.69,133.87,6.25,2978255.1,113.85,19329.0,4126040.17,51098707.17
2008-09-01 00:00:00,109.1,0.26,13.39,79.7,132.6,6.25,3020522.3,99.06,22708.0,2080055.61,48161291.36
2008-10-01 00:00:00,100.2,0.45,13.66,94.83,132.8,6.25,3059105.4,72.84,26752.0,2366814.89,60559574.99
2008-11-01 00:00:00,93.8,0.36,13.64,96.67,124.58,6.25,3087863.3,53.24,30116.0,2295944.88,51802817.5
2008-12-01 00:00:00,85.9,0.28,13.66,100.79,118.9,6.25,3109803.1,41.58,35710.0,2002498.84,47669099.93
2009-01-01 00:00:00,83.1,0.48,13.32,97.09,115.2,6.25,3122486.9,44.86,1970.0,2806046.17,57326539.18
2009-02-01 00:00:00,83.7,0.55,12.66,97.26,115.26,6.25,3133825.9,43.24,4464.0,262656.12,47188389.73
2009-03-01 00:00:00,90.7,0.2,11.7,97.35,127.81,6.25,3153875.1,46.84,7713.0,158779.7,50132091.2
2009-04-01 00:00:00,85.7,0.48,11.11,92.59,123.09,6.25,3164637.8,50.85,9970.0,475983.27,57841802.9
2009-05-01 00:00:00,89.3,0.47,10.16,86.35,124.41,6.25,3178020.0,57.94,10976.0,111824.45,47742112.81
2009-06-01 00:00:00,89.2,0.36,9.54,82.43,125.61,6.25,3187927.6,68.62,15410.0,113695.17,48997331.64
2009-07-01 00:00:00,90.1,0.24,9.01,81.06,131.44,6.0,3195271.3,64.91,37157.0,363588.26,68390187.5
2009-08-01 00:00:00,93.4,0.15,8.65,77.45,130.7,6.0,3210275.9,72.5,40562.0,375679.76,68212358.26
2009-09-01 00:00:00,92.8,0.24,8.65,76.25,129.81,6.0,3228168.0,67.69,46883.0,581980.38,50781149.79
2009-10-01 00:00:00,97.7,0.28,8.65,72.7,132.48,6.0,3249541.6,73.19,50612.0,731190.31,79155893.53
2009-11-01 00:00:00,105.6,0.41,8.65,71.95,129.62,6.0,3283901.4,77.04,53930.0,887483.23,73131216.36
2009-12-01 00:00:00,118.9,0.37,8.65,72.56,129.23,6.0,3333039.4,74.67,60302.0,884953.11,80516094.42
2010-01-01 00:00:00,115.6,0.75,8.65,73.48,125.81,6.0,3372087.7,76.37,2048.0,3463038.42,76741027.13
2010-02-01 00:00:00,116.7,0.78,8.65,75.46,127.61,6.0,3413806.6,74.31,5157.0,707806.25,58156387.84
2010-03-01 00:00:00,118.9,0.52,8.65,73.1,143.44,6.0,3463309.6,79.27,7589.0,824022.25,62278115.42
2010-04-01 00:00:00,116.5,0.57,8.72,71.62,136.87,6.0,3510858.7,84.98,10327.0,2225292.81,77830695.94
2010-05-01 00:00:00,114.2,0.43,9.4,73.66,136.52,6.0,3558543.7,76.25,12944.0,1245508.21,81958878.01
