mes,debitos,arrecadacao
200401,7282426.41,68059738.44
200402,46156308.72,53040081.05
200403,48512047.08,58277134.96
200404,57059252.73,58664645.94
200405,44466777.51,57931554.86
200406,37836870.11,57774191.49
200407,42389921.10,52033863.89
200408,30911246.70,53941476.59
200409,31313688.36,45678698.03
200410,49102835.12,58433699.72
200411,30349365.29,46392318.31
200412,30169422.97,45768653.08
200501,42525339.68,52506145.91
200502,24477936.56,53606080.16
200503,39608411.19,46968670.91
200504,49394357.41,61878880.00
200505,21771096.73,42223463.63
200506,22331803.55,56352131.18
200507,34587426.88,50188393.35
200508,19808481.38,50936572.29
200509,28499821.91,50082580.73
200510,33138487.58,54265118.63
200511,22370669.44,49457178.57
200512,22277489.89,48269770.49
200601,33048708.29,58405010.36
200602,2920952.74,51077867.71
200603,3396949.34,58708357.65
200604,3672303.36,59516508.69
200605,2582885.99,51170902.59
200606,1684698.70,49263853.36
200607,3827857.92,52850830.22
200608,7892171.21,50718676.03
200609,9417802.31,50705924.11
200610,19935297.60,56346126.45
200611,9537286.07,67259946.02
200612,10849076.41,69296061.17
200701,16996850.97,66838339.03
200702,18761122.35,56932587.83
200703,9806853.75,65536337.93
200704,33267800.06,66401689.37
200705,19915841.17,57620941.93
200706,21662720.54,72097795.94
200707,29062304.60,69729714.03
200708,15629792.87,45747805.69
200709,8662423.53,58722904.42
200710,255644.34,67128735.57
200711,45127.88,64116227.97
200712,41305.06,56271519.68
200801,198589.22,71057215.98
200802,6616526.55,57169749.11
200803,2185796.00,47921768.15
200804,8693846.49,75145777.72
200805,6009429.56,53875494.34
200806,4491787.04,51536625.79
200807,9612073.60,58897586.09
200808,4126040.17,51098707.17
200809,2080055.61,48161291.36
200810,2366814.89,60559574.99
200811,2295944.88,51802817.50
200812,2002498.84,47669099.93
200901,2806046.17,57326539.18
200902,262656.12,47188389.73
200903,158779.70,50132091.20
200904,475983.27,57841802.90
200905,111824.45,47742112.81
200906,113695.17,48997331.64
200907,363588.26,68390187.50
200908,375679.76,68212358.26
200909,581980.38,50781149.79
200910,731190.31,79155893.53
200911,887483.23,73131216.36
200912,884953.11,80516094.42
201001,3463038.42,76741027.13
201002,707806.25,58156387.84
201003,824022.25,62278115.42
201004,2225292.81,77830695.94
201005,1245508.21,81958878.01
201006,1912919.64,66981074.25
201007,1957063.42,77767105.26
201008,1133297.99,73775713.20
201009,983485.40,78971404.73
201010,1768273.49,79912208.64
201011,618734.16,70048980.28
201012,575219.11,80495338.18
201101,2432297.94,82336797.90
201102,2040911.09,75051749.55
201103,2760405.69,65489738.28
201104,4062663.02,63644599.96
201105,1541591.02,57493703.09
201106,1901712.82,68573647.35
201107,3683524.79,79385276.87
201108,1029030.84,81113376.35
201109,1673122.11,88936624.34
201110,3396359.03,89669902.51
201111,1817378.35,98732486.36
201112,1422698.92,92545628.02
201201,4840735.80,146579302.61
201202,2814297.06,78580623.92
201203,2461261.22,151215480.99
201204,8593644.01,134343134.55
201205,3292616.73,125617510.55
201206,3002924.47,163976760.01
201207,8033046.37,139810716.24
201208,3826875.26,152005933.92
201209,3818413.59,152877452.35
201210,10082845.60,159966947.43
201211,4362205.87,170407640.10
201212,5643072.96,161483963.01
201301,12839035.57,195243030.57
201302,9160099.50,154930138.69
201303,8888182.47,153221230.00
201304,14530632.17,183037235.75
201305,11538007.19,201744635.59
201306,6576568.18,184447894.83
201307,15699518.65,196187065.54
201308,9465132.07,195846292.95
201309,19183894.81,195201057.75
201310,19272245.78,228932625.10
201311,12245945.85,216510893.27
201312,18076255.81,248083376.34
201401,39525809.59,236616131.07
201402,56877609.00,205430809.99
201403,66989626.44,203072926.88
201404,108151443.21,242855750.20
201405,79765898.37,246832982.03
201406,89781809.07,236002383.92
201407,130533791.88,289338008.56
201408,101546634.91,301591379.01
201409,93624321.12,281322769.56
201410,148722635.13,321176312.35
201411,115139249.30,353627896.35
201412,122195166.39,384878182.59
201501,204922063.48,367298691.70
201502,103248237.94,267707100.59
201503,108217819.95,327703673.90
201504,193763246.91,372933597.90
201505,164913990.55,365619784.07
201506,163217054.28,375842115.33
201507,155680232.82,404739295.58
201508,135662317.03,386012021.68
201509,159001286.42,439921194.36
201510,231777634.72,434561554.43
201511,146756719.59,367999590.52
201512,166693156.93,392579360.92
201601,285825794.07,444871920.51
201602,151297191.17,383630761.67
201603,161186835.89,415302947.50
201604,276191734.13,442173808.88
201605,207517915.45,442732437.33
201606,180841272.48,403368169.76
201607,303091292.75,480831689.31
201608,200276674.84,451170989.94
201609,192333758.59,452048515.08
201610,317814084.88,502392627.35
201611,212009894.97,427017633.68
201612,220955685.70,449481399.99
201701,406872528.56,567406060.26
201702,208119304.77,391099518.89
201703,228888981.32,491275366.88
201704,337573796.02,510330825.34
201705,228722069.16,486096550.48
201706,256964945.67,541307489.25
201707,336520317.42,556147051.66
201708,251741158.59,567055090.66
201709,297334984.57,619751413.65
201710,394603955.74,667652067.45
201711,291477924.08,685970598.01
201712,323834048.43,694228752.73
201801,458134403.82,802882912.14
201802,297536991.53,637560700.58
201803,282623716.33,655636359.28
201804,408344093.79,738772837.78
201805,326032373.92,722372418.88
201806,267331149.24,718379872.84
201807,410998112.23,828503955.82
201808,305049713.55,793791230.66
201809,338155666.09,893615010.14
201810,421155817.98,941681137.35
201811,390470556.74,980202614.91
201812,375671244.80,893499741.75
201901,493894255.02,1036390657.89
201902,318078642.18,859798816.87
201903,352004495.42,928504990.31
201904,458390692.86,1017011395.46
201905,359465960.15,1097970107.91
201906,347798568.27,1041985030.90
201907,430987090.18,1064735040.16
201908,351437039.05,1073036479.47
201909,400008880.92,1116754891.68
201910,493796016.00,1192847362.03
201911,387278764.32,1078803414.65
201912,409292086.43,1251178472.03
202001,712990165.75,1360579448.29
202002,389299000.82,1037265092.28
202003,406341693.61,1040313899.95
202004,515754528.73,948772089.54
202005,200942338.06,842919518.17
202006,232608759.43,844823538.72
202007,620062886.80,1194837262.90
202008,665118456.67,1376152463.40
202009,546918061.48,1351722251.40
202010,1134640014.24,1676779906.15
202011,776511206.80,1659746671.99
202012,701399014.53,1771428076.92
