mes,debitos,arrecadacao
201312,7232177714.95,18410673871.08
201401,10584979701.47,23737908343.29
201402,9598951431.74,14693919242.22
201403,12318630984.03,15922327477.04
201404,13601456651.02,20254729747.12
201405,11012205774.69,15195067931.74
201406,11242380404.02,15699483131.51
201407,11835518585.14,18774195237.60
201408,10277970696.04,15430972560.56
201409,10925975007.08,15618600237.12
201410,14257624787.74,22069859013.08
201411,13297154333.69,19452567820.16
201412,12529241114.10,16868737321.08
201501,16272779983.18,23096748102.65
201502,9965565486.79,13569904282.82
201503,12590582517.86,15926705150.89
201504,14645155661.18,20373364323.37
201505,11065690363.52,15718113564.14
201506,11001728736.07,16020910959.42
201507,10758368418.94,21000986082.89
201508,10907714779.71,17774066926.51
201509,11793907160.37,17433919995.80
201510,13854793429.26,19260073246.31
201511,12247352205.42,16014011990.62
201512,13136201716.02,16651309193.02
201601,17666094100.50,21625250659.87
201602,10786821266.80,13754052156.23
201603,12889669710.84,15104895179.33
201604,15543957874.00,16223298228.20
201605,11575611362.26,15041950915.44
201606,11192265544.45,14355455687.88
201607,13930150627.38,16175583642.47
201608,10972724639.82,14118064366.21
201609,12082926336.14,14855086772.71
201610,14174473235.11,16729547080.15
201611,12261856043.06,16112775601.66
201612,13444382504.64,16575554919.26
201701,16978149277.64,21756729354.93
201702,11316011294.29,13198481707.49
201703,12790257213.89,15249599688.79
201704,16373524066.93,20616372054.47
201705,11331090263.69,15201479336.00
201706,12132742224.58,15248427605.69
201707,13830658917.77,18162400203.29
201708,12404927144.27,17720719165.76
201709,14571915198.33,18052512975.42
201710,16612924552.23,23032330526.62
201711,15099652566.61,22621891026.45
201712,14987128669.42,20184582434.25
201801,19201286637.23,28701685528.00
201802,13136277277.27,17264338869.26
201803,15985932287.39,19639280884.33
201804,17712649913.46,25747597325.42
201805,14557596913.89,19282879932.06
201806,12983968604.25,19677383698.74
201807,18493257785.38,28941778944.88
201808,14263892625.56,20509656593.60
201809,16013981230.70,25151713192.45
201810,17630998888.91,32118484352.28
201811,15859301088.07,25761458988.15
201812,15099822872.41,26460526999.44
201901,20259652950.57,34981323100.77
201902,12648234333.97,21397983319.41
201903,15805972786.15,22466094335.29
201904,16932390238.54,30758988763.82
201905,12965867638.18,23215072522.08
201906,13546779105.52,24176599481.67
201907,20052725316.36,33276197454.94
201908,16140028524.47,26112462939.53
201909,13985226488.66,23646698245.00
201910,17710145768.50,30415347079.38
201911,15080822721.57,24381068247.24
201912,15263095052.12,26761339548.09
202001,20954562780.73,35531392595.57
202002,13041372226.95,22203781964.64
202003,15879173021.21,19329618203.73
202004,11987789518.14,20145313513.34
202005,5769186314.19,13144809106.07
202006,6266141412.01,12340295287.65
202007,17843552380.97,19834413899.24
202008,18981785274.22,22064628260.29
202009,15184631207.65,23623006868.14
202010,26858619351.47,32640902347.46
202011,22078572479.19,26635302005.67
202012,18560730255.72,29102589059.08
