mes,debitos,arrecadacao
200401,730970151.84,6709728197.38
200402,4150874441.76,5844143844.18
200403,3778614348.15,5757594052.26
200404,4927327281.54,7872112724.87
200405,2175495525.08,7156122486.18
200406,2078371021.40,7048867894.18
200407,2531326742.62,8450280955.76
200408,1900320314.96,7101401000.31
200409,2038177171.23,7709141173.53
200410,2499240580.37,8787191146.35
200411,2125699332.07,6845525061.37
200412,2509619881.37,7922471086.32
200501,2991476281.61,9171568873.85
200502,1883603437.97,6970913797.98
200503,2541728506.27,7356127741.47
200504,2865775194.99,9611372227.63
200505,2254299807.52,7820800673.18
200506,2480066385.61,7480433753.36
200507,3324322708.25,8976327089.48
200508,2183455425.52,7829659673.51
200509,2431266772.14,8007888650.95
200510,2936053274.59,10555158444.11
200511,2416446356.47,8605337373.05
200512,2971299381.99,9034476870.79
200601,2550451510.98,9406721778.92
200602,497551187.27,7451864843.97
200603,626975241.22,7624398172.33
200604,794885115.43,10942206553.01
200605,516722422.30,8144581527.96
200606,470017128.06,9264326449.33
200607,526437546.15,10560974784.82
200608,550354613.23,9445101991.40
200609,655915287.67,9889737653.44
200610,959796864.81,11956385043.26
200611,718057562.80,8401068357.04
200612,735241374.52,9388676443.90
200701,1040282254.54,10502817896.87
200702,354021887.48,8221937399.11
200703,774988026.23,8911548842.87
200704,1936649581.44,11649677480.69
200705,1654970577.40,9913936561.52
200706,1771629821.84,8643641828.40
200707,1925504259.15,11009517140.50
200708,1545341465.88,9485317359.12
200709,1613820844.49,11310324259.01
200710,32857264.77,12266415516.27
200711,35933349.61,10579388933.32
200712,13224240.58,11771379127.99
200801,52052718.52,13420907957.60
200802,288737667.62,10150420476.66
200803,605631382.68,10790327831.11
200804,461712828.25,14428838518.68
200805,356434431.97,10766188261.63
200806,427911419.05,11460792813.19
200807,467349998.46,16087985720.94
200808,476095196.56,12822887910.71
200809,416678187.27,12903039844.12
200810,528265358.94,18957474172.17
200811,430156390.82,11717922141.84
200812,338684085.50,9307520002.51
200901,372389636.88,11677190617.56
200902,1069391164.73,6937322465.17
200903,1886949705.95,8782628448.15
200904,1624697917.70,11208898539.21
200905,1363053481.41,8999738246.82
200906,1620667751.02,10691264270.10
200907,1936893790.63,12832205041.57
200908,1940401007.56,9457543832.23
200909,385343995.72,10655283414.41
200910,488277839.19,14413790810.95
200911,296173370.75,12543845101.10
200912,698819550.85,12147898061.62
201001,3305614499.60,15111878487.49
201002,3052828435.64,10586846909.10
201003,3128785026.78,11579683458.08
201004,4128801074.54,16076318239.27
201005,2751843001.36,12640545325.36
201006,2984390901.33,12293261699.45
201007,1061357428.86,14496112319.37
201008,969945273.78,11968537171.79
201009,1070371524.98,12666546495.55
201010,1262302564.05,15350350490.72
201011,1076118634.78,12828989420.98
201012,759050682.37,13478069527.16
201101,1679899780.49,18090321311.98
201102,3310523868.34,11515774977.54
201103,3466327145.54,13028379319.23
201104,3090360362.03,17168819913.11
201105,3795472320.14,13093767277.80
201106,2773968308.21,13876527232.81
201107,3213802047.57,17275795676.40
201108,3856373079.52,13847874312.15
201109,4179771597.51,13989200484.68
201110,4192749333.03,18615357558.11
201111,3350270470.45,13913289369.82
201112,3296534369.59,13820045961.59
201201,5213116541.96,20619850207.10
201202,3309975529.16,12064684675.48
201203,4548724271.78,12914756336.67
201204,3809986348.06,18791394146.23
201205,3268599387.12,13761160498.38
201206,3808916602.90,13544674135.28
201207,3909822731.36,17885113078.25
201208,3466540225.18,13398774808.97
201209,4352686029.52,14409996529.96
201210,4106865145.27,18071798456.10
201211,4693859065.05,14667207252.70
201212,4258172417.95,14729392434.48
201301,6237771547.10,21988709275.96
201302,4448112582.17,11663840388.47
201303,5906053827.57,14545167756.87
201304,6343372811.56,19429568138.08
201305,6035622076.67,15383224969.89
201306,5393492747.59,14832288257.77
201307,5665271201.02,18999230470.23
201308,5587168563.86,15409546010.80
201309,5377942914.74,15417280215.21
201310,6593520541.83,20462793581.09
201311,6675307837.33,15987790509.90
