mes,indice_pimpf,ipca,taxa_selic,taxa_cambio,ibcbr,tjlp,pib_mensal,preco_brent,desembolso,debitos,arrecadacao
200401,104.0,0.76,16.32,136.19,98.59,10.0,1735331.5,31.18,1107.0,7472665.21,24292254.98
200402,103.1,0.61,16.3,139.84,99.45,10.0,1746819.2,30.87,2559.0,15992826.63,20243261.18
200403,113.0,0.47,16.19,138.89,111.98,10.0,1765492.2,33.80,4302.0,14035100.35,21503893.13
200404,107.8,0.37,15.96,138.85,107.36,9.75,1781058.0,33.36,5474.0,26344116.48,27743614.22
200405,108.9,0.51,15.77,148.25,106.03,9.75,1800951.1,37.92,5976.0,16300643.64,27665574.88
200406,113.1,0.71,15.8,149.04,107.0,9.75,1828299.9,35.19,7338.0,14513334.14,28449577.71
200407,110.9,0.91,15.77,143.11,111.47,9.75,1853700.2,38.37,8251.0,28615256.55,32201565.39
200408,113.2,0.69,15.86,140.62,110.65,9.75,1878059.7,43.03,8887.0,15948970.28,34787089.96
200409,107.6,0.33,16.09,135.23,109.21,9.75,1894202.4,43.38,9562.0,17532215.81,37284767.93
200410,103.8,0.44,16.41,133.55,108.89,9.75,1909813.0,49.82,11099.0,29586026.28,41406878.18
200411,108.6,0.69,16.96,129.6,109.59,9.75,1933090.2,43.05,12842.0,18183252.34,36831649.97
200412,108.9,0.86,17.5,124.9,107.56,9.75,1957751.2,39.64,15526.0,18391567.4,45808399.7
200501,105.4,0.58,17.93,123.29,103.52,9.75,1976732.7,44.28,2089.0,36692674.95,43789355.3
200502,103.3,0.59,18.47,118.92,104.0,9.75,1994573.0,45.56,3051.0,18717839.03,28585072.7
200503,101.0,0.61,18.97,124.02,115.42,9.75,2012678.1,53.08,4797.0,15195023.26,26794290.27
200504,105.4,0.87,19.32,118.03,112.35,9.75,2032903.2,51.86,5966.0,30353643.53,35417908.18
200505,104.9,0.49,19.61,111.59,110.86,9.75,2050901.0,48.67,7363.0,21731658.41,35050371.68
200506,105.6,-0.02,19.75,109.88,111.5,9.75,2066440.6,54.31,10274.0,20923099.56,36853780.92
200507,99.9,0.25,19.72,108.29,113.15,9.75,2079143.4,57.58,11523.0,29935267.16,39256263.52
200508,103.5,0.17,19.75,108.07,115.15,9.75,2097211.1,64.09,13512.0,22339702.32,38846167.59
200509,99.3,0.35,19.61,105.95,110.95,9.75,2114047.4,62.98,14681.0,24055058.53,41471347.12
200510,99.7,0.75,19.25,103.63,111.33,9.75,2132693.9,58.52,15620.0,35668581.21,48927643.85
200511,100.2,0.55,18.87,100.17,111.73,9.75,2150566.9,55.54,19479.0,25329538.92,42099355.76
200512,101.8,0.36,18.24,102.76,111.25,9.75,2170584.5,56.75,23033.0,26604435.89,46481624.89
200601,102.6,0.59,17.65,102.41,108.55,9.0,2192609.2,63.57,634.0,29237889.92,42702821.2
200602,104.6,0.41,17.28,97.17,107.8,9.0,2210389.7,59.92,1299.0,5385031.57,32373567.83
200603,104.5,0.43,16.74,96.84,119.09,9.0,2225144.4,62.25,2385.0,2047906.31,35416135.86
200604,98.1,0.21,16.19,96.43,112.61,8.15,2232996.0,70.44,4695.0,1994652.26,40900006.35
200605,104.5,0.1,15.7,99.03,117.19,8.15,2253373.6,70.19,6089.0,2312303.3,35014337.22
200606,99.6,-0.21,15.18,102.64,114.4,8.15,2271563.6,68.86,8477.0,2846721.01,36914363.78
200607,103.4,0.19,14.98,100.05,119.41,7.5,2294464.3,73.90,10937.0,2224142.61,38063478.7
200608,103.0,0.05,14.66,98.67,121.06,7.5,2317035.7,73.61,13812.0,7183885.64,36615591.49
200609,101.1,0.21,14.17,98.57,116.21,7.5,2336552.2,62.77,16059.0,9851139.91,48657130.08
200610,103.9,0.33,13.95,96.79,119.33,6.85,2361640.9,58.38,17890.0,17581890.44,46491387.29
200611,103.4,0.31,13.65,96.78,118.67,6.85,2386570.6,58.48,20484.0,7355551.53,67809488.05
200612,99.9,0.48,13.19,96.1,116.3,6.85,2409449.9,62.31,25663.0,8125343.86,43601343.6
200701,103.9,0.44,13.13,95.46,114.79,6.5,2435015.8,54.30,2254.0,15400777.3,48258692.31
200702,102.8,0.44,12.93,93.66,113.33,6.5,2459237.7,57.76,3334.0,5272323.29,36208015.86
200703,104.3,0.37,12.74,93.83,125.11,6.5,2486603.3,62.14,4943.0,7496094.4,33182414.44
200704,105.8,0.25,12.58,91.65,120.29,6.5,2516701.6,67.40,6426.0,20452104.25,41634711.23
200705,104.8,0.28,12.43,89.67,123.9,6.5,2545365.2,67.48,8118.0,13696254.38,37725951.85
